run_id,entry_bps,tp_bps,duration_minutes,total_trades,entry_trades,exit_trades,round_trips,wins,losses,win_rate_pct,total_pnl_usd,avg_pnl_per_rt,tp_exits,timeout_exits,sl_exits,reversal_exits,avg_buy_fill_ratio,avg_sell_fill_ratio,partial_fills,failed_fills,avg_buy_slippage_bps,avg_sell_slippage_bps,avg_slippage_bps,latency_avg_ms,latency_p99_ms,cpu_usage_pct,memory_usage_mb
d82-9-E10p0_TP13p0-20251205193220,10.0,13.0,10.0,5,3,2,2,0,2,0.0,-925.909271525843,-462.9546357629215,0,2,0,0,0.2614773401599524,1.0,3,0,2.1357139501945874,2.135486830116419,2.135600390155503,16.501435773626802,31.82816505432129,35.0,150.0
d82-9-E10p0_TP14p0-20251205194253,10.0,14.0,10.0,4,2,2,2,0,2,0.0,-823.5858300793537,-411.79291503967687,0,2,0,0,0.2614773401599524,1.0,2,0,2.1357139501959796,2.1354868301144414,2.1356003901552105,14.288965659805491,25.290250778198242,35.0,150.0
d82-9-E10p0_TP15p0-20251205201356,10.0,15.0,10.0,5,3,2,2,0,2,0.0,-1036.6802637153576,-518.3401318576788,0,2,0,0,0.2614773401599524,1.0,3,0,2.1357139501938143,2.1354868301163292,2.135600390155072,15.191893637934818,28.608322143554688,35.0,150.0
d82-9-E12p0_TP13p0-20251205195310,12.0,13.0,10.0,5,3,2,2,0,2,0.0,-850.1075630764417,-425.05378153822085,0,2,0,0,0.2614773401599524,1.0,3,0,2.1357139501941407,2.1354868301158856,2.1356003901550134,14.706553688532189,25.751829147338867,35.0,150.0
d82-9-E12p0_TP14p0-20251205200333,12.0,14.0,10.0,7,4,3,3,0,3,0.0,-2720.04873311099,-906.6829110369966,0,3,0,0,0.2614773401599524,1.0,4,0,2.1357139501945346,2.1354868301154775,2.1356003901550062,14.481158799762968,26.132583618164062,35.0,150.0
